;Title, http://www.gcdataconcepts.com, X16-2 ADXL345
;Version, 1447, Build num, 0x276, Build date, 20120709 17:23:15,  SN:CCDC20160000714
;Start_time, 2012-11-28, 18:04:04.001
;Temperature, 23.50, deg C,  Vbat, 4085, mv
;Gain, 16g
;SampleRate, 400,Hz
;Deadband, 0, counts
;DeadbandTimeout, 0,sec
;Headers, time,Ax,Ay,Az
1.136,618,-328,-64
1.138,608,-342,-72
1.141,610,-344,-66
1.143,600,-350,-88
1.146,596,-366,-90
1.148,596,-364,-86
1.151,590,-364,-96
1.153,590,-364,-106
1.156,586,-356,-104
1.159,572,-360,-100
1.163,570,-370,-108
1.165,566,-380,-82
1.168,566,-370,-94
1.170,564,-372,-84
1.173,558,-384,-84
1.175,558,-384,-76
1.178,554,-396,-70
1.181,554,-410,-44
1.183,558,-420,-40
1.186,548,-434,-36
1.188,550,-446,-34
1.191,546,-454,-26
1.193,552,-466,-40
1.196,542,-478,-50
1.199,548,-488,-56
1.201,548,-496,-54
1.203,544,-498,-70
1.205,544,-508,-88
1.208,544,-504,-82
1.210,546,-502,-84
1.213,556,-506,-100
1.215,552,-510,-74
1.218,558,-508,-86
1.221,572,-514,-80
1.223,562,-512,-76
1.226,562,-502,-84
1.228,570,-506,-84
1.231,570,-512,-78
1.233,566,-510,-82
1.236,572,-512,-78
1.238,574,-512,-54
1.241,574,-520,-46
1.244,576,-518,-16
1.245,580,-526,-14
1.248,586,-530,-12
1.250,582,-542,-6
1.253,586,-550,0
1.255,594,-544,-8
1.258,606,-542,-16
1.260,614,-534,-18
1.263,612,-536,-22
1.266,624,-534,-34
1.268,628,-540,-40
1.271,626,-548,-56
1.273,632,-538,-58
1.276,630,-544,-56
1.278,630,-536,-58
1.281,640,-540,-56
1.283,634,-546,-62
1.285,646,-554,-52
1.288,646,-554,-40
1.290,654,-564,-48
1.293,658,-566,-28
1.295,670,-564,-14
1.298,672,-578,0
1.300,668,-588,0
1.303,674,-606,4
1.306,674,-614,6
1.308,682,-612,-4
1.311,684,-612,4
1.313,694,-614,-6
1.316,692,-600,-22
1.318,700,-604,-44
1.321,698,-614,-56
1.323,698,-608,-52
1.325,712,-612,-66
1.328,716,-616,-78
1.330,722,-616,-70
1.333,730,-620,-66
1.335,726,-612,-82
1.338,730,-612,-92
1.340,742,-592,-70
1.343,776,-458,-36
1.345,806,-334,30
1.348,784,-508,-16
1.351,768,-666,-42
1.353,746,-694,-28
1.356,736,-670,-4
1.358,730,-674,-12
1.361,740,-678,-28
1.363,728,-694,-52
1.366,706,-686,-50
1.367,696,-688,-60
1.370,684,-688,-60
1.373,656,-684,-60
1.375,662,-674,-28
1.378,678,-646,-26
1.380,710,-618,-36
1.383,698,-608,-30
1.385,700,-598,-26
1.388,694,-584,-18
1.390,672,-578,-20
1.393,636,-548,-34
1.396,628,-524,-42
1.398,642,-524,-28
1.401,652,-512,-4
1.403,646,-504,0
1.406,584,-450,-4
1.407,580,-432,2
1.410,608,-452,16
1.413,636,-488,24
1.415,668,-506,22
1.418,692,-490,20
1.420,714,-520,30
1.423,740,-560,22
1.425,756,-592,20
1.428,762,-612,2
1.430,760,-644,-28
1.433,744,-634,-60
1.436,736,-682,-94
1.438,722,-642,-142
1.441,734,-646,-174
1.443,716,-626,-196
1.446,698,-612,-184
1.447,666,-526,-148
1.450,690,-544,-126
1.452,706,-498,-114
1.455,756,-528,-78
1.458,744,-492,-100
1.460,752,-536,-46
1.463,760,-490,-24
1.465,754,-608,6
1.468,776,-598,-8
1.470,750,-602,-12
1.473,722,-584,-26
1.475,664,-580,-30
1.478,652,-586,-26
1.481,680,-608,-50
1.483,666,-628,-30
1.486,672,-618,-40
1.488,700,-658,-62
1.490,748,-702,-40
1.492,760,-730,0
1.495,770,-754,2
1.497,792,-768,-8
1.500,788,-782,-12
1.503,792,-818,-36
1.505,782,-826,-50
1.508,804,-762,-50
1.510,798,-756,-40
1.513,786,-750,-46
1.515,768,-714,-74
1.518,788,-706,-32
1.521,772,-718,-46
1.523,784,-714,-58
1.526,778,-702,-78
1.528,758,-696,-80
1.530,754,-694,-100
1.532,732,-656,-86
1.535,726,-592,-44
1.537,754,-628,14
1.540,764,-636,36
1.543,762,-642,12
1.545,784,-658,-10
1.548,782,-690,-38
1.550,778,-654,-60
1.553,770,-642,-62
1.555,774,-602,-72
1.558,794,-590,-54
1.560,818,-636,-34
1.563,832,-700,-30
1.566,804,-738,-16
1.568,726,-744,-8
1.570,646,-704,-28
1.572,600,-644,-32
1.575,566,-546,-4
1.577,542,-526,10
1.580,556,-516,20
1.582,612,-550,52
1.585,698,-574,76
1.588,754,-580,136
1.590,784,-584,126
1.593,836,-614,136
1.595,860,-630,116
1.598,896,-630,118
1.600,892,-610,106
1.603,886,-630,108
1.605,892,-694,118
1.608,914,-748,106
1.610,938,-770,116
1.612,938,-788,148
1.615,888,-770,142
1.617,870,-736,102
1.620,858,-712,60
1.622,858,-692,80
1.625,874,-722,56
1.627,862,-652,60
1.630,854,-652,74
1.633,894,-708,100
1.635,996,-802,70
1.638,1014,-808,40
1.640,1134,-952,54
1.643,1150,-1056,14
1.645,1166,-1148,-28
1.648,1140,-1214,-62
1.650,1064,-1194,-90
1.652,978,-1200,-84
1.655,826,-1080,-96
1.657,608,-960,-78
1.660,440,-748,-82
1.662,332,-542,-78
1.665,314,-454,-114
1.667,346,-372,-126
1.670,386,-376,-104
1.673,454,-396,-52
1.675,546,-436,-6
1.678,648,-490,32
1.680,786,-620,46
1.683,836,-736,30
1.685,738,-580,52
1.688,712,-632,60
1.690,704,-632,62
1.692,732,-650,4
1.695,744,-712,-26
1.697,722,-674,-30
1.700,710,-706,-40
1.702,708,-730,-52
1.705,614,-616,-14
1.707,638,-612,2
1.710,736,-702,-14
1.712,738,-716,-36
1.715,720,-690,-20
1.718,666,-622,2
1.720,666,-610,-14
1.723,694,-648,-32
1.725,690,-678,-74
1.728,654,-730,-118
1.730,628,-756,-122
1.732,596,-754,-138
1.735,602,-730,-138
1.737,580,-706,-118
1.740,594,-666,-102
1.742,572,-628,-112
1.745,558,-612,-122
1.747,556,-602,-88
1.750,572,-566,-98
1.752,598,-584,-68
1.755,626,-594,-38
1.758,646,-602,-48
1.760,652,-592,-36
1.763,648,-560,-26
1.765,644,-554,-20
1.768,650,-560,-6
1.770,642,-556,0
1.772,646,-584,2
1.774,670,-580,-8
1.777,684,-592,4
1.780,690,-592,-2
1.782,700,-610,-2
1.785,702,-634,-38
1.787,682,-656,-68
1.790,684,-668,-64
1.792,676,-700,-80
1.795,664,-708,-90
1.797,636,-726,-98
1.800,626,-738,-100
1.803,624,-678,-108
1.805,636,-666,-108
1.808,640,-666,-84
1.810,618,-620,-78
1.813,642,-672,-80
1.814,640,-676,-82
1.817,612,-678,-60
1.819,646,-676,-74
1.822,654,-684,-74
1.825,652,-690,-84
1.827,634,-682,-86
1.830,632,-692,-64
1.832,636,-718,-38
1.835,628,-690,-60
1.837,616,-674,-60
1.840,616,-648,-58
1.843,638,-680,-44
1.845,676,-728,-22
1.848,688,-680,-78
1.850,698,-688,-40
1.853,700,-762,-58
1.854,730,-830,-72
1.857,734,-786,-90
1.859,734,-732,-136
1.862,728,-742,-132
1.865,742,-826,-124
1.867,766,-834,-114
1.870,680,-654,-54
1.872,666,-726,0
1.875,658,-794,16
1.877,638,-754,14
1.880,602,-598,-4
1.882,616,-672,18
1.885,620,-696,-6
1.888,632,-702,-44
1.890,666,-796,-116
1.893,658,-746,-110
1.894,662,-716,-138
1.897,676,-732,-136
1.899,688,-718,-120
1.902,662,-626,-102
1.904,690,-738,-104
1.907,684,-696,-82
1.910,630,-566,-88
1.912,624,-550,-68
1.915,636,-684,-94
1.917,624,-684,-82
1.920,626,-674,-112
1.922,622,-704,-114
1.925,620,-678,-86
1.927,624,-586,-56
1.930,634,-640,-106
1.933,650,-650,-76
1.935,644,-622,-86
1.937,670,-698,-122
1.939,698,-722,-132
1.942,698,-720,-142
1.944,710,-678,-120
1.947,724,-720,-108
1.950,734,-692,-146
1.952,742,-700,-160
1.955,748,-738,-160
1.957,754,-758,-176
1.960,748,-758,-202
1.962,734,-708,-214
1.965,728,-696,-202
1.967,738,-734,-182
1.970,740,-738,-216
1.973,724,-704,-212
1.975,708,-640,-158
1.977,710,-698,-148
1.979,710,-684,-158
1.982,718,-640,-122
1.984,714,-570,-98
1.987,712,-532,-94
1.989,716,-548,-88
1.992,710,-600,-72
1.995,698,-650,-58
1.999,694,-686,-16
2.001,678,-706,6
2.003,676,-720,16
2.006,668,-742,16
2.008,658,-734,14
2.011,654,-700,-14
2.014,646,-686,-58
2.016,642,-672,-94
2.019,644,-670,-84
2.021,630,-670,-70
2.024,614,-668,-62
2.026,608,-698,-46
2.029,598,-690,-36
2.031,584,-644,-6
2.034,588,-636,-12
2.037,598,-626,-18
2.039,592,-640,-52
2.041,604,-630,-66
2.043,574,-630,-66
2.046,562,-586,-56
2.048,554,-574,-44
2.051,552,-612,-44
2.053,552,-632,-24
2.056,542,-590,-28
2.059,526,-558,-32
2.061,512,-526,-76
2.064,512,-552,-98
2.066,552,-614,-92
2.069,576,-696,-78
2.071,624,-720,-112
2.074,696,-750,-130
2.077,688,-552,-12
2.079,594,-446,52
2.081,546,-564,68
2.083,536,-722,98
2.086,552,-800,78
2.088,578,-910,-10
2.091,672,-946,-124
2.093,690,-526,-38
2.096,512,-542,-16
2.099,472,-650,-52
2.101,512,-756,-50
2.104,690,-890,-152
2.106,816,-672,38
2.109,698,-726,8
2.111,684,-558,68
2.114,442,-612,46
2.116,474,-568,-38
2.119,686,-600,106
2.122,720,-642,190
2.123,610,-456,114
2.126,602,-558,50
2.128,626,-500,16
2.131,506,-592,-80
2.133,544,-606,-58
2.136,526,-472,-16
2.138,548,-622,-52
2.141,580,-370,76
2.144,676,-542,-98
2.146,632,-264,-70
2.149,684,-116,114
2.151,810,-278,102
2.154,858,-252,74
2.156,928,-342,-56
2.159,902,-506,-92
2.161,808,-556,-140
2.163,724,-456,-134
2.166,764,-626,-150
2.168,724,-798,-64
